Age,Overall,Potential
16,54.45238095238095,73.19047619047619
17,56.36585365853659,74.29616724738676
18,57.74180327868852,73.53005464480874
19,59.57590597453477,73.13418217433889
20,61.864886731391586,73.22330097087378
21,63.49014084507042,72.96901408450704
22,65.00524344569288,72.83220973782771
23,66.27073906485671,72.58069381598793
24,67.3180811808118,72.09077490774908
25,68.00533536585365,71.32164634146342
26,68.55072463768116,70.21521739130435
27,68.97322970639033,69.73316062176166
28,69.22656960873522,69.45768880800728
29,69.26882845188284,69.38075313807532
30,69.70414847161572,69.7085152838428
31,69.89914772727273,69.89914772727273
32,69.52961672473867,69.52961672473867
33,69.58765432098765,69.58765432098765
34,69.55831265508685,69.55831265508685
35,68.16410256410256,68.16410256410256
36,67.93700787401575,67.93700787401575
37,69.0125,69.0125
38,67.37837837837837,67.37837837837837
39,67.64,67.64
40,67.6923076923077,67.6923076923077
41,67.6,67.6
42,65.0,65.0
44,50.5,50.5
45,71.0,71.0
