Name,Club,Age,Value,Wage,Contract_Years_Remaining,Plot_X,Urgency_Group,Potential
L. Messi,FC Barcelona,31,110500000.0,565000.0,2.0,1.9372700594236814,2. Urgent (2 Years Left),94
Cristiano Ronaldo,Juventus,33,77000000.0,405000.0,3.0,3.225357153204958,3. Stable (3 Years Left),94
Neymar Jr,Paris Saint-Germain,26,118500000.0,290000.0,3.0,3.1159969709057025,3. Stable (3 Years Left),93
De Gea,Manchester United,27,72000000.0,260000.0,1.0,1.0493292420985183,1. Crisis (Expiring < 12m),93
K. De Bruyne,Manchester City,27,102000000.0,355000.0,4.0,3.828009320221218,4. Secure (Long Term),92
E. Hazard,Chelsea,27,93000000.0,340000.0,1.0,0.8279972601681014,1. Crisis (Expiring < 12m),91
L. Modrić,Real Madrid,32,67000000.0,420000.0,1.0,0.7790418060840998,1. Crisis (Expiring < 12m),91
L. Suárez,FC Barcelona,31,80000000.0,455000.0,2.0,2.1830880728874678,2. Urgent (2 Years Left),91
Sergio Ramos,Real Madrid,32,51000000.0,380000.0,1.0,1.0505575058716043,1. Crisis (Expiring < 12m),91
J. Oblak,Atlético Madrid,25,68000000.0,94000.0,2.0,2.1040362888980226,2. Urgent (2 Years Left),93
R. Lewandowski,FC Bayern München,29,77000000.0,205000.0,2.0,1.7602922471479012,2. Urgent (2 Years Left),90
T. Kroos,Real Madrid,28,76500000.0,355000.0,3.0,3.2349549260809973,3. Stable (3 Years Left),90
D. Godín,Atlético Madrid,32,44000000.0,125000.0,0.0,0.16622132040021087,1. Crisis (Expiring < 12m),90
David Silva,Manchester City,32,60000000.0,285000.0,1.0,0.8561695553391381,1. Crisis (Expiring < 12m),90
N. Kanté,Chelsea,27,63000000.0,225000.0,4.0,3.8409124836035504,4. Secure (Long Term),90
P. Dybala,Juventus,24,89000000.0,205000.0,3.0,2.841702254926717,3. Stable (3 Years Left),94
H. Kane,Tottenham Hotspur,24,83500000.0,205000.0,5.0,4.902121121479769,4. Secure (Long Term),91
A. Griezmann,Atlético Madrid,27,78000000.0,145000.0,4.0,4.012378215816119,4. Secure (Long Term),90
M. ter Stegen,FC Barcelona,26,58000000.0,240000.0,3.0,2.965972509321058,3. Stable (3 Years Left),92
T. Courtois,Real Madrid,26,53500000.0,240000.0,5.0,4.895614570099021,4. Secure (Long Term),90
Sergio Busquets,FC Barcelona,29,51500000.0,315000.0,4.0,4.055926447361189,4. Secure (Long Term),89
E. Cavani,Paris Saint-Germain,31,60000000.0,200000.0,1.0,0.819746930326021,1. Crisis (Expiring < 12m),89
M. Neuer,FC Bayern München,32,38000000.0,130000.0,2.0,1.896072324267609,2. Urgent (2 Years Left),89
S. Agüero,Manchester City,30,64500000.0,300000.0,2.0,1.9331809216468459,2. Urgent (2 Years Left),89
G. Chiellini,Juventus,33,27000000.0,215000.0,1.0,0.978034992108518,1. Crisis (Expiring < 12m),89
K. Mbappé,Paris Saint-Germain,19,81000000.0,100000.0,3.0,3.142587980696507,3. Stable (3 Years Left),95
M. Salah,Liverpool,26,69500000.0,255000.0,4.0,3.84983689107918,4. Secure (Long Term),89
Casemiro,Real Madrid,26,59500000.0,285000.0,2.0,2.0071172192068056,2. Urgent (2 Years Left),90
J. Rodríguez,FC Bayern München,26,69500000.0,315000.0,0.0,0.046207284431021234,1. Crisis (Expiring < 12m),89
L. Insigne,Napoli,27,62000000.0,165000.0,3.0,2.773225206359999,3. Stable (3 Years Left),88
Isco,Real Madrid,26,73500000.0,315000.0,3.0,3.053772425950719,3. Stable (3 Years Left),91
C. Eriksen,Tottenham Hotspur,26,73500000.0,205000.0,1.0,0.8352620618436457,1. Crisis (Expiring < 12m),91
Coutinho,FC Barcelona,26,69500000.0,340000.0,4.0,3.7825257964926395,4. Secure (Long Term),89
P. Aubameyang,Arsenal,29,59000000.0,265000.0,2.0,2.2244427686266666,2. Urgent (2 Years Left),88
M. Hummels,FC Bayern München,29,46000000.0,160000.0,2.0,2.2328160165372797,2. Urgent (2 Years Left),88
Marcelo,Real Madrid,30,43000000.0,285000.0,3.0,3.1541986740582306,3. Stable (3 Years Left),88
