Name,Club,Age,Position,Overall,Potential,Wage,Contract_Years_Remaining,Financial_Burden,Action
A. Hamdallah,Al Nassr,27,ST,74,74,35000.0,2.0,3640000.0,🟡 SELL NOW (Peak Age)
Duirval Diniz,Atlético Paranaense,34,RCB,74,74,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
Arribas,U.N.A.M.,29,RCB,74,74,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
B. Dabo,Fiorentina,26,CM,74,77,43000.0,2.0,4472000.0,🟡 SELL NOW (Peak Age)
L. Sobiech,1. FC Köln,27,CB,74,74,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
Da Costa,Bologna,34,GK,74,74,20000.0,2.0,2080000.0,🔴 TERMINATE (No Resale Value)
S. Ghoddos,Amiens SC,24,LM,74,79,16000.0,4.0,3328000.0,🟡 SELL NOW (Peak Age)
L. Cooper,Leeds United,26,LCB,74,75,34000.0,2.0,3536000.0,🟡 SELL NOW (Peak Age)
Edercinho Sepa,Grêmio,30,RCM,74,74,22000.0,2.0,2288000.0,🔴 TERMINATE (No Resale Value)
K. Laifis,Standard de Liège,25,LCB,74,78,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
J. Hoilett,Cardiff City,28,LM,74,74,44000.0,2.0,4576000.0,🟡 SELL NOW (Peak Age)
Pascoal Muscato,Santos,26,RDM,74,74,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
Fransérgio,SC Braga,27,LCM,74,74,13000.0,3.0,2028000.0,🟡 SELL NOW (Peak Age)
Anselmo,Al Wehda,29,RDM,74,74,21000.0,3.0,3276000.0,🟡 SELL NOW (Peak Age)
R. Khedira,FC Augsburg,24,CB,74,77,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
Caio Milaçar,Ceará Sporting Club,34,CAM,74,74,19000.0,2.0,1976000.0,🔴 TERMINATE (No Resale Value)
C. Träsch,FC Ingolstadt 04,30,CDM,74,74,21000.0,2.0,2184000.0,🔴 TERMINATE (No Resale Value)
C. Atsu,Newcastle United,26,LM,74,75,39000.0,2.0,4056000.0,🟡 SELL NOW (Peak Age)
Elias Fontoira,Internacional,34,LDM,74,74,21000.0,2.0,2184000.0,🔴 TERMINATE (No Resale Value)
S. Al Faraj,Al Hilal,28,CM,74,74,33000.0,2.0,3432000.0,🟡 SELL NOW (Peak Age)
