Name,Club,Age,Position,Value,Wage,Release Clause,Clause_Premium_Pct
L. Messi,FC Barcelona,31,RF,110500000.0,565000.0,226500000.0,104.97737556561087
Cristiano Ronaldo,Juventus,33,ST,77000000.0,405000.0,127100000.0,65.06493506493507
Neymar Jr,Paris Saint-Germain,26,LW,118500000.0,290000.0,228100000.0,92.48945147679325
De Gea,Manchester United,27,GK,72000000.0,260000.0,138600000.0,92.5
K. De Bruyne,Manchester City,27,RCM,102000000.0,355000.0,196400000.0,92.54901960784314
E. Hazard,Chelsea,27,LF,93000000.0,340000.0,172100000.0,85.05376344086022
L. Modrić,Real Madrid,32,RCM,67000000.0,420000.0,137400000.0,105.07462686567163
L. Suárez,FC Barcelona,31,RS,80000000.0,455000.0,164000000.0,105.0
Sergio Ramos,Real Madrid,32,RCB,51000000.0,380000.0,104600000.0,105.09803921568628
J. Oblak,Atlético Madrid,25,GK,68000000.0,94000.0,144500000.0,112.5
R. Lewandowski,FC Bayern München,29,ST,77000000.0,205000.0,127100000.0,65.06493506493507
T. Kroos,Real Madrid,28,LCM,76500000.0,355000.0,156800000.0,104.96732026143792
D. Godín,Atlético Madrid,32,CB,44000000.0,125000.0,90200000.0,105.0
David Silva,Manchester City,32,LCM,60000000.0,285000.0,111000000.0,85.0
N. Kanté,Chelsea,27,LDM,63000000.0,225000.0,121300000.0,92.53968253968254
P. Dybala,Juventus,24,LF,89000000.0,205000.0,153500000.0,72.47191011235955
H. Kane,Tottenham Hotspur,24,ST,83500000.0,205000.0,160700000.0,92.45508982035928
A. Griezmann,Atlético Madrid,27,CAM,78000000.0,145000.0,165800000.0,112.56410256410257
M. ter Stegen,FC Barcelona,26,GK,58000000.0,240000.0,123300000.0,112.58620689655172
T. Courtois,Real Madrid,26,GK,53500000.0,240000.0,113700000.0,112.5233644859813
Sergio Busquets,FC Barcelona,29,CDM,51500000.0,315000.0,105600000.0,105.0485436893204
E. Cavani,Paris Saint-Germain,31,LS,60000000.0,200000.0,111000000.0,85.0
M. Neuer,FC Bayern München,32,GK,38000000.0,130000.0,62700000.0,65.0
S. Agüero,Manchester City,30,ST,64500000.0,300000.0,119300000.0,84.96124031007753
G. Chiellini,Juventus,33,LCB,27000000.0,215000.0,44600000.0,65.18518518518519
K. Mbappé,Paris Saint-Germain,19,RM,81000000.0,100000.0,166100000.0,105.06172839506173
M. Salah,Liverpool,26,RM,69500000.0,255000.0,137300000.0,97.55395683453237
Casemiro,Real Madrid,26,CDM,59500000.0,285000.0,126400000.0,112.43697478991596
J. Rodríguez,FC Bayern München,26,LAM,69500000.0,315000.0,144000000.0,107.19424460431655
L. Insigne,Napoli,27,LW,62000000.0,165000.0,105400000.0,70.0
Isco,Real Madrid,26,LW,73500000.0,315000.0,156200000.0,112.5170068027211
C. Eriksen,Tottenham Hotspur,26,CAM,73500000.0,205000.0,141500000.0,92.51700680272108
Coutinho,FC Barcelona,26,LW,69500000.0,340000.0,147700000.0,112.51798561151078
P. Aubameyang,Arsenal,29,LM,59000000.0,265000.0,112100000.0,90.0
M. Hummels,FC Bayern München,29,LCB,46000000.0,160000.0,75900000.0,65.0
Marcelo,Real Madrid,30,LB,43000000.0,285000.0,88200000.0,105.11627906976744
G. Bale,Real Madrid,28,ST,60000000.0,355000.0,123000000.0,105.0
H. Lloris,Tottenham Hotspur,31,GK,36000000.0,150000.0,66600000.0,85.0
G. Higuaín,Milan,30,LS,57000000.0,245000.0,117000000.0,105.26315789473684
Thiago Silva,Paris Saint-Germain,33,RCB,24000000.0,165000.0,44400000.0,85.0
S. Handanovič,Inter,33,GK,30000000.0,110000.0,51000000.0,70.0
