Player_Label,Name,Club,Position,Nationality_Region,Overall,Potential,Value,Wage,Growth_Gap,Value_Label
S. Tonali (Brescia) - CDM,S. Tonali,Brescia,CDM,Europe,68,89,1800000.0,1000.0,21,€1.8M
Riqui Puig (FC Barcelona) - CM,Riqui Puig,FC Barcelona,CM,Europe,69,89,2100000.0,24000.0,20,€2.1M
João Félix (SL Benfica) - LW,João Félix,SL Benfica,LW,Europe,72,88,6500000.0,5000.0,16,€6.5M
B. Kamara (Olympique de Marseille) - CB,B. Kamara,Olympique de Marseille,CB,Europe,72,88,6000000.0,11000.0,16,€6.0M
P. Foden (Manchester City) - CAM,P. Foden,Manchester City,CAM,Europe,73,88,8000000.0,36000.0,15,€8.0M
J. Arp (Hamburger SV) - ST,J. Arp,Hamburger SV,ST,Europe,69,88,2200000.0,4000.0,19,€2.2M
Kangin Lee (Valencia CF) - CAM,Kangin Lee,Valencia CF,CAM,Asia,70,88,3500000.0,8000.0,18,€3.5M
E. Barco (Atlanta United) - LM,E. Barco,Atlanta United,LM,South_America,73,88,8500000.0,4000.0,15,€8.5M
P. Pellegri (AS Monaco) - ST,P. Pellegri,AS Monaco,ST,Europe,67,88,1700000.0,11000.0,21,€1.7M
M. Kean (Juventus) - ST,M. Kean,Juventus,ST,Europe,72,87,6500000.0,32000.0,15,€6.5M
A. Davies (Vancouver Whitecaps FC) - RM,A. Davies,Vancouver Whitecaps FC,RM,North_America,72,87,6000000.0,3000.0,15,€6.0M
Sergio Gómez (Borussia Dortmund) - CAM,Sergio Gómez,Borussia Dortmund,CAM,Europe,68,87,1800000.0,8000.0,19,€1.8M
Diogo Leite (FC Porto) - CB,Diogo Leite,FC Porto,CB,Europe,74,87,9500000.0,5000.0,13,€9.5M
C. Hudson-Odoi (Chelsea) - LW,C. Hudson-Odoi,Chelsea,LW,Europe,70,87,3500000.0,25000.0,17,€3.5M
A. Bastoni (Parma) - CB,A. Bastoni,Parma,CB,Europe,67,87,1500000.0,7000.0,20,€1.5M
