Name,Overall,Value,Role,Starter_Ref,Position,Meta_BackupName,Meta_Club,Meta_Value,Meta_Discount,Meta_Gap,Meta_Similarity,Attribute,Rating,Path_ID
L. Messi,94,110500000.0,Starter,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,SprintSpeed,86.0,0
D. Mertens,87,45000000.0,Backup,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,SprintSpeed,85.0,0
L. Messi,94,110500000.0,Starter,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,Finishing,95.0,1
D. Mertens,87,45000000.0,Backup,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,Finishing,86.0,1
L. Messi,94,110500000.0,Starter,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,ShortPassing,90.0,2
D. Mertens,87,45000000.0,Backup,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,ShortPassing,82.0,2
L. Messi,94,110500000.0,Starter,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,Dribbling,97.0,3
D. Mertens,87,45000000.0,Backup,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,Dribbling,91.0,3
L. Messi,94,110500000.0,Starter,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,StandingTackle,28.0,4
D. Mertens,87,45000000.0,Backup,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,StandingTackle,40.0,4
L. Messi,94,110500000.0,Starter,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,Strength,59.0,5
D. Mertens,87,45000000.0,Backup,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,Strength,42.0,5
L. Messi,94,110500000.0,Starter,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,SprintSpeed,86.0,6
D. Mertens,87,45000000.0,Backup,L. Messi,RF,D. Mertens,Napoli,45000000.0,59.0,-7,4.7,SprintSpeed,85.0,6
Cristiano Ronaldo,94,77000000.0,Starter,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,SprintSpeed,91.0,0
C. Immobile,87,52000000.0,Backup,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,SprintSpeed,85.0,0
Cristiano Ronaldo,94,77000000.0,Starter,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,Finishing,94.0,1
C. Immobile,87,52000000.0,Backup,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,Finishing,90.0,1
Cristiano Ronaldo,94,77000000.0,Starter,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,ShortPassing,81.0,2
C. Immobile,87,52000000.0,Backup,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,ShortPassing,74.0,2
Cristiano Ronaldo,94,77000000.0,Starter,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,Dribbling,88.0,3
C. Immobile,87,52000000.0,Backup,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,Dribbling,83.0,3
Cristiano Ronaldo,94,77000000.0,Starter,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,StandingTackle,31.0,4
