Position,Median_Value,Premium_Pct
LF,55750000.0,298.2142857142857
RF,45000000.0,221.42857142857144
LAM,43500000.0,210.71428571428572
LW,42500000.0,203.57142857142856
RAM,31000000.0,121.42857142857142
RW,29250000.0,108.92857142857142
RCM,26000000.0,85.71428571428571
LM,26000000.0,85.71428571428571
LCM,25500000.0,82.14285714285714
ST,23500000.0,67.85714285714286
CM,23250000.0,66.07142857142857
LS,23250000.0,66.07142857142857
CAM,22500000.0,60.71428571428571
RM,21500000.0,53.57142857142857
CF,20000000.0,42.857142857142854
LCB,19500000.0,39.285714285714285
LDM,19500000.0,39.285714285714285
RDM,19500000.0,39.285714285714285
RS,18750000.0,33.92857142857143
RB,18500000.0,32.142857142857146
RCB,18500000.0,32.142857142857146
CB,18000000.0,28.57142857142857
CDM,18000000.0,28.57142857142857
LB,16500000.0,17.857142857142858
GK,16500000.0,17.857142857142858
LWB,14500000.0,3.571428571428571
RWB,14000000.0,0.0
