ID,Name,Nationality_Region,Club,Position,Age,Height,Weight,Preferred Foot,Body Type,Real Face,Overall,Potential,International Reputation,Value,Wage,Release Clause,Contract_Years_Remaining,Years_At_Club,Contract_Info_Missing,Special,Weak Foot,Skill Moves,Jersey Number,Attack Work Rate,Defence Work Rate,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Growth,Total_Skills,ROI_Score,Player_Type
239782,B. Acosta,North_America,CD Tenerife,LM,24,175.26,73.03,Right,Normal,No,72,76,1.0,4100000.0,7000.0,6800000.0,3.0,2.0,0,2030,3.0,3.0,8.0,High,High,72.0,72.0,72.0,71.0,73.0,73.0,73.0,71.0,73.0,73.0,73.0,72.0,73.0,73.0,73.0,72.0,71.0,73.0,73.0,73.0,71.0,71.0,71.0,71.0,71.0,71.0,56.0,62.0,63.0,70.0,44.0,64.0,49.0,73.0,74.0,68.0,83.0,88.0,81.0,72.0,87.0,86.0,72.0,84.0,78.0,79.0,84.0,68.0,69.0,75.0,62.0,68.0,66.0,67.0,62.0,9.0,7.0,13.0,8.0,7.0,4,2054.0,500.9756097560976,Smart Bargain
177553,Vieirinha,Europe,PAOK,LB,32,172.72,69.85,Right,Normal,No,76,76,2.0,4300000.0,1000.0,9000000.0,1.0,2.0,0,2103,4.0,4.0,20.0,High,Medium,74.0,74.0,74.0,79.0,78.0,78.0,78.0,79.0,78.0,78.0,78.0,78.0,77.0,77.0,77.0,78.0,77.0,75.0,75.0,75.0,77.0,75.0,71.0,71.0,71.0,75.0,79.0,73.0,55.0,76.0,65.0,81.0,74.0,67.0,70.0,80.0,80.0,75.0,84.0,76.0,85.0,75.0,69.0,75.0,54.0,75.0,74.0,74.0,74.0,74.0,66.0,72.0,72.0,70.0,70.0,15.0,10.0,12.0,11.0,13.0,0,2114.0,491.6279069767442,Smart Bargain
158942,Léo Matos,South_America,PAOK,RB,32,182.88,81.19,Right,Normal,No,76,76,1.0,4300000.0,1000.0,9000000.0,0.0,3.0,0,2060,3.0,4.0,3.0,High,Medium,75.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,75.0,75.0,75.0,77.0,74.0,74.0,74.0,77.0,76.0,74.0,74.0,74.0,76.0,76.0,74.0,74.0,74.0,76.0,77.0,70.0,72.0,73.0,56.0,76.0,62.0,56.0,71.0,75.0,83.0,83.0,76.0,72.0,75.0,70.0,73.0,83.0,74.0,69.0,70.0,69.0,77.0,67.0,60.0,74.0,69.0,75.0,72.0,10.0,12.0,16.0,8.0,9.0,0,2079.0,483.48837209302326,Smart Bargain
209781,P. Capelle,Europe,Angers SCO,LWB,31,180.34,73.03,Left,Lean,No,75,75,1.0,4400000.0,20000.0,8700000.0,0.0,4.0,0,2089,4.0,3.0,15.0,High,Medium,73.0,73.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,75.0,74.0,74.0,74.0,75.0,74.0,70.0,70.0,70.0,74.0,76.0,68.0,55.0,75.0,79.0,76.0,75.0,77.0,73.0,76.0,74.0,75.0,78.0,75.0,67.0,74.0,69.0,78.0,67.0,78.0,71.0,74.0,77.0,73.0,63.0,64.0,69.0,68.0,67.0,9.0,12.0,16.0,9.0,16.0,0,2091.0,475.2272727272727,Smart Bargain
201953,J. Sánchez Miño,South_America,Independiente,LB,28,177.8,78.02,Left,Normal,No,74,74,1.0,4400000.0,18000.0,6200000.0,1.0,3.0,0,2078,2.0,4.0,6.0,High,Medium,73.0,73.0,73.0,76.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,75.0,74.0,74.0,74.0,75.0,74.0,72.0,72.0,72.0,74.0,79.0,68.0,64.0,76.0,65.0,76.0,78.0,73.0,72.0,76.0,75.0,71.0,74.0,71.0,64.0,76.0,68.0,79.0,68.0,77.0,71.0,71.0,71.0,79.0,67.0,71.0,68.0,73.0,69.0,12.0,13.0,11.0,14.0,9.0,0,2090.0,474.99999999999994,Smart Bargain
143587,F. Belluschi,South_America,San Lorenzo de Almagro,CAM,34,172.72,78.02,Right,Normal,No,77,77,2.0,4500000.0,22000.0,6700000.0,0.0,3.0,0,2093,4.0,4.0,16.0,High,Medium,74.0,74.0,74.0,76.0,76.0,76.0,76.0,76.0,78.0,78.0,78.0,76.0,77.0,77.0,77.0,76.0,72.0,73.0,73.0,73.0,72.0,70.0,69.0,69.0,69.0,70.0,77.0,66.0,58.0,75.0,75.0,76.0,82.0,79.0,76.0,78.0,69.0,69.0,79.0,78.0,74.0,83.0,69.0,63.0,70.0,80.0,73.0,69.0,74.0,82.0,75.0,78.0,68.0,65.0,59.0,11.0,9.0,12.0,13.0,7.0,0,2119.0,470.8888888888889,Smart Bargain
212541,L. Vangioni,South_America,Monterrey,LWB,31,177.8,68.04,Left,Lean,No,75,75,1.0,4400000.0,37000.0,7400000.0,0.0,2.0,0,2038,3.0,3.0,11.0,High,High,69.0,69.0,69.0,72.0,71.0,71.0,71.0,72.0,71.0,71.0,71.0,73.0,72.0,72.0,72.0,73.0,76.0,74.0,74.0,74.0,76.0,76.0,74.0,74.0,74.0,76.0,76.0,51.0,60.0,69.0,61.0,71.0,71.0,62.0,69.0,73.0,87.0,79.0,77.0,70.0,66.0,78.0,73.0,79.0,69.0,73.0,85.0,75.0,68.0,64.0,69.0,68.0,70.0,74.0,74.0,9.0,9.0,9.0,11.0,7.0,0,2061.0,468.4090909090909,Smart Bargain
204539,L. Advíncula,South_America,Rayo Vallecano,RB,28,177.8,79.83,Right,Normal,No,74,74,1.0,4400000.0,41000.0,7600000.0,0.0,3.0,0,2058,4.0,3.0,17.0,High,Medium,72.0,72.0,72.0,75.0,73.0,73.0,73.0,75.0,73.0,73.0,73.0,76.0,71.0,71.0,71.0,76.0,75.0,71.0,71.0,71.0,75.0,74.0,70.0,70.0,70.0,74.0,75.0,58.0,62.0,73.0,59.0,76.0,77.0,63.0,67.0,74.0,95.0,94.0,80.0,69.0,76.0,76.0,72.0,80.0,74.0,68.0,70.0,63.0,68.0,60.0,64.0,60.0,66.0,70.0,67.0,11.0,12.0,13.0,15.0,11.0,0,2056.0,467.27272727272725,Smart Bargain
187366,D. Glushakov,Europe,Spartak Moscow,LCM,31,180.34,79.83,Right,Normal,No,75,75,1.0,4500000.0,1000.0,9400000.0,1.0,6.0,0,2065,3.0,3.0,8.0,High,High,75.0,75.0,75.0,75.0,76.0,76.0,76.0,75.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,76.0,75.0,76.0,76.0,76.0,75.0,74.0,73.0,73.0,73.0,74.0,70.0,70.0,66.0,78.0,68.0,72.0,50.0,59.0,73.0,78.0,71.0,70.0,70.0,75.0,74.0,82.0,80.0,80.0,71.0,78.0,73.0,73.0,75.0,75.0,75.0,82.0,68.0,73.0,71.0,10.0,8.0,8.0,12.0,9.0,0,2100.0,466.6666666666667,Smart Bargain
146530,Dani Alves,South_America,Paris Saint-Germain,RB,35,172.72,68.04,Right,Normal,Yes,82,82,4.0,4800000.0,62000.0,8900000.0,0.0,2.0,0,2197,3.0,4.0,13.0,High,Low,77.0,77.0,77.0,82.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,81.0,82.0,82.0,78.0,78.0,78.0,82.0,85.0,61.0,72.0,81.0,68.0,84.0,80.0,74.0,79.0,86.0,77.0,79.0,84.0,77.0,87.0,86.0,80.0,74.0,55.0,78.0,78.0,79.0,74.0,78.0,70.0,80.0,72.0,79.0,82.0,5.0,11.0,9.0,6.0,7.0,0,2239.0,466.45833333333337,Smart Bargain
