Name,Club,Overall,Position,Value,Wage,Fair_Wage,Wage_Delta_Pct,Wage_Status
L. Messi,FC Barcelona,94,RF,110500000.0,565000.0,204400.52136914592,176.41808162495528,Avoid (Overpaid)
Cristiano Ronaldo,Juventus,94,ST,77000000.0,405000.0,156525.19022290886,158.74429503854046,Avoid (Overpaid)
Neymar Jr,Paris Saint-Germain,92,LW,118500000.0,290000.0,215233.20352313895,34.73757545444104,Avoid (Overpaid)
De Gea,Manchester United,91,GK,72000000.0,260000.0,148950.49287333502,74.55464227372487,Avoid (Overpaid)
K. De Bruyne,Manchester City,91,RCM,102000000.0,355000.0,192663.5335353441,84.25905177062234,Avoid (Overpaid)
E. Hazard,Chelsea,91,LF,93000000.0,340000.0,179953.6445355975,88.93754604272155,Avoid (Overpaid)
L. Modrić,Real Madrid,91,RCM,67000000.0,420000.0,141237.02144632424,197.3724563850399,Avoid (Overpaid)
L. Suárez,FC Barcelona,91,RS,80000000.0,455000.0,161008.159878625,182.59437306966237,Avoid (Overpaid)
Sergio Ramos,Real Madrid,91,RCB,51000000.0,380000.0,115450.69042919995,229.14484840871063,Avoid (Overpaid)
J. Oblak,Atlético Madrid,90,GK,68000000.0,94000.0,142791.42046478394,-34.16971433295403,Target (Underpaid)
R. Lewandowski,FC Bayern München,90,ST,77000000.0,205000.0,156525.19022290886,30.96933452568098,Avoid (Overpaid)
T. Kroos,Real Madrid,90,LCM,76500000.0,355000.0,155773.63047992485,127.89479766650894,Avoid (Overpaid)
D. Godín,Atlético Madrid,90,CB,44000000.0,125000.0,103520.43642702868,20.749104538515176,Normal Market
David Silva,Manchester City,90,LCM,60000000.0,285000.0,130179.41247602248,118.92862671545214,Avoid (Overpaid)
N. Kanté,Chelsea,89,LDM,63000000.0,225000.0,134957.52463672223,66.7191218908716,Avoid (Overpaid)
P. Dybala,Juventus,89,LF,89000000.0,205000.0,174202.6080539551,17.679064791329722,Normal Market
H. Kane,Tottenham Hotspur,89,ST,83500000.0,205000.0,166183.19235405826,23.35784208744851,Normal Market
A. Griezmann,Atlético Madrid,89,CAM,78000000.0,145000.0,158024.49920246893,-8.24207592379792,Normal Market
M. ter Stegen,FC Barcelona,89,GK,58000000.0,240000.0,126959.34288423363,89.03689523569854,Avoid (Overpaid)
T. Courtois,Real Madrid,89,GK,53500000.0,240000.0,119605.62433549178,100.65946006586113,Avoid (Overpaid)
Sergio Busquets,FC Barcelona,89,CDM,51500000.0,315000.0,116285.85695375685,170.8841885434661,Avoid (Overpaid)
E. Cavani,Paris Saint-Germain,89,LS,60000000.0,200000.0,130179.41247602248,53.63412401084361,Avoid (Overpaid)
M. Neuer,FC Bayern München,89,GK,38000000.0,130000.0,92893.84719811,39.94468301302624,Avoid (Overpaid)
S. Agüero,Manchester City,89,ST,64500000.0,300000.0,137324.20450979847,118.46112349305047,Avoid (Overpaid)
G. Chiellini,Juventus,89,LCB,27000000.0,215000.0,72166.1237101641,197.92371953285158,Avoid (Overpaid)
K. Mbappé,Paris Saint-Germain,88,RM,81000000.0,100000.0,162492.66910525566,-38.45876213946343,Target (Underpaid)
M. Salah,Liverpool,88,RM,69500000.0,255000.0,145111.87931358351,75.72648166794858,Avoid (Overpaid)
Casemiro,Real Madrid,88,CDM,59500000.0,285000.0,129377.05860212346,120.28634989798903,Avoid (Overpaid)
J. Rodríguez,FC Bayern München,88,LAM,69500000.0,315000.0,145111.87931358351,117.0738891192306,Avoid (Overpaid)
L. Insigne,Napoli,88,LW,62000000.0,165000.0,133371.56258653812,23.714528644694987,Normal Market
Isco,Real Madrid,88,LW,73500000.0,315000.0,151236.92642124428,108.28246609734849,Avoid (Overpaid)
C. Eriksen,Tottenham Hotspur,88,CAM,73500000.0,205000.0,151236.92642124428,35.54890650779822,Avoid (Overpaid)
Coutinho,FC Barcelona,88,LW,69500000.0,340000.0,145111.87931358351,134.30197555726477,Avoid (Overpaid)
P. Aubameyang,Arsenal,88,LM,59000000.0,265000.0,128572.94168295234,106.10868549112205,Avoid (Overpaid)
M. Hummels,FC Bayern München,88,LCB,46000000.0,160000.0,106976.62021893912,49.56539071111319,Avoid (Overpaid)
Marcelo,Real Madrid,88,LB,43000000.0,285000.0,101777.00920529103,180.02394865537454,Avoid (Overpaid)
G. Bale,Real Madrid,88,ST,60000000.0,355000.0,130179.41247602248,172.7005701192474,Avoid (Overpaid)
H. Lloris,Tottenham Hotspur,88,GK,36000000.0,150000.0,89256.31605755539,68.05533392536064,Avoid (Overpaid)
G. Higuaín,Milan,88,LS,57000000.0,245000.0,125338.46071861267,95.47072669898976,Avoid (Overpaid)
Thiago Silva,Paris Saint-Germain,88,RCB,24000000.0,165000.0,66151.78244394621,149.42638566060248,Avoid (Overpaid)
